Country,RIC,Company Name,GICS Sector ,GICS Industry
Bahrain,ALBH.BH,Aluminium Bahrain BSC,Materials,Metals & Mining
Bahrain,ZAIN.BH,Zain Bahrain BSC,Communication Services,Wireless Telecommunication Services
Bahrain,EBRIT.BH,Eskan Bank Realty Income Trust,Real Estate,Diversified REITs
Bahrain,UGHC.BH,United Gulf Holding Company BSC,Financials,Banks
Bahrain,APMTB.BH,APM Terminals Bahrain BSC,Industrials,Transportation Infrastructure
Bahrain,ABCB.BH,Arab Banking Corporation B S C,Financials,Banks
Bahrain,SOLID.BH,Solidarity Bahrain BSC,Financials,Insurance
Bahrain,ARIG.BH,Arab Insurance Group BSC,Financials,Insurance
Bahrain,BSRC.BH,Bahrain Ship Repairing and Engineering Co BSC,Industrials,Machinery
Bahrain,BEYON.BH,Beyon BSC,Communication Services,Diversified Telecommunication Services
Bahrain,BBKB.BH,Bank of Bahrain and Kuwait BSC,Financials,Banks
Bahrain,BCFC.BH,Bahrain Commercial Facilities Co BSC,Financials,Consumer Finance
Bahrain,BFMC.BH,Bahrain Flour Mills Co BSC,Consumer Staples,Food Products
Bahrain,GHG.BH,Gulf Hotel Group BSC,Consumer Discretionary,"Hotels, Restaurants & Leisure"
Bahrain,BISB.BH,Bahrain Islamic Bank BSC,Financials,Banks
Bahrain,BKIC.BH,Bahrain Kuwait Insurance Co BSC,Financials,Insurance
Bahrain,BMEB.BH,Bahrain Middle East Bank BSC,Financials,Capital Markets
Bahrain,BMMI.BH,Bmmi BSC,Consumer Discretionary,Distributors
Bahrain,BNHB.BH,Bahrain National Holding Company BSC,Financials,Insurance
Bahrain,CNCO.BH,Bahrain Cinema Co BSC,Communication Services,Entertainment
Bahrain,PARK.BH,Bahrain Car Parks Company (Amakin) BSC,Industrials,Commercial Services & Supplies
Bahrain,DUTY.BH,Bahrain Duty Free Shop Complex BSC,Consumer Discretionary,Specialty Retail
Bahrain,EICB.BH,Esterad Investment Company BSC,Financials,Capital Markets
Bahrain,FMLY.BH,Bahrain Family Leisure Co BSC,Consumer Discretionary,"Hotels, Restaurants & Leisure"
Bahrain,GFHB.BH,GFH Financial Group BSC,Financials,Capital Markets
Bahrain,ITHMR.BH,Ithmaar Holding BSC,Financials,Banks
Bahrain,NASS.BH,Nass Corporation BSC,Industrials,Construction & Engineering
Bahrain,NATB.BH,National Bank of Bahrain BSC,Financials,Banks
Bahrain,NHTL.BH,National Hotels Co BSC,Consumer Discretionary,"Hotels, Restaurants & Leisure"
Bahrain,DPCB.BH,Delmon Poultry Co BSC,Consumer Staples,Food Products
Bahrain,SALAM.BH,Al Salam Bank BSC,Financials,Banks
Bahrain,SEEF.BH,Seef Properties BSC,Real Estate,Real Estate Management & Development
Bahrain,SICO.BH,SICO BSC C,Financials,Capital Markets
Bahrain,TAKA.BH,Takaful International Co BSC,Financials,Insurance
Bahrain,INOV.BH,Inovest BSC Public,Real Estate,Real Estate Management & Development
Bahrain,GTFP.BH,Trafco Group BSC,Consumer Staples,Consumer Staples Distribution & Retail
Bahrain,UGIC.BH,United Gulf Investment Corporation BSC,Financials,Financial Services
Bahrain,KHALEEJI.BH,Khaleeji Bank BSC,Financials,Banks
Bahrain,ABRAAJ.BH,Al Abraaj Restaurants Group BSCC,Consumer Discretionary,"Hotels, Restaurants & Leisure"
Kuwait,SPEC.KW,Specialities Group Holding Company KPSC,Industrials,Industrial Conglomerates
Kuwait,MASKN.KW,Al Masaken International Real Estate Development Co KSCP,Real Estate,Real Estate Management & Development
Kuwait,DALQ.KW,Dalqan Real Estate Company KSCP,Real Estate,Real Estate Management & Development
Kuwait,ALEID.KW,Al Eid Food Company KSCPublic,Consumer Staples,Consumer Staples Distribution & Retail
Kuwait,MIDAN.KW,Al-Maidan Clinic for Oral Health Services Company KSCP,Health Care,Health Care Providers & Services
Kuwait,THURY.KW,Dar Al Thuraya Real Estate Co KSCP,Real Estate,Real Estate Management & Development
Kuwait,AMARF.KW,Amar Finance and Leasing Company KSCP,Real Estate,Real Estate Management & Development
Kuwait,WARBA.KW,Warba Capital Holding Company KSCP,Financials,Capital Markets
Kuwait,MARA.KW,Real Estate Trade Centers Company KSCP,Real Estate,Real Estate Management & Development
Kuwait,JIYAD.KW,Jiyad Holding Co KSCP,Consumer Discretionary,Diversified Consumer Services
Kuwait,ALIMK.KW,Alimtiaz Investment Group Co KSCP,Financials,Financial Services
Kuwait,WARB.KW,Warba Bank KSCP,Financials,Banks
Kuwait,ALMAN.KW,Al Manar Financing & Leasing Co KSCP,Financials,Consumer Finance
Kuwait,STC.KW,Kuwait Telecommunications Company KSCP,Communication Services,Wireless Telecommunication Services
Kuwait,MEZZ.KW,Mezzan Holding Company KSCP,Consumer Staples,Food Products
Kuwait,BOURSA.KW,Boursa Kuwait Securities Company KPSC,Financials,Capital Markets
Kuwait,AZNOULA.KW,Shamal Az-Zour Al-Oula Power and Water Company KSCP,Utilities,Independent Power and Renewable Electricity Producers
Kuwait,JTC.KW,Jassim Transport & Stevedoring Co KSCC,Industrials,Transportation Infrastructure
Kuwait,ALG.KW,Ali Al-Ghanim Sons Automotive Company KSCP,Consumer Discretionary,Specialty Retail
Kuwait,ALSAFAT.KW,Al Safat Investment Company KSCP,Financials,Financial Services
Kuwait,BAITAKREIT.KW,KFH Capital REIT,Real Estate,Diversified REITs
Kuwait,INTG.KW,Integrated Holding Company KSCC,Industrials,Trading Companies & Distributors
Kuwait,TAMI.KW,Tamdeen Investment Co KSCP,Financials,Capital Markets
Kuwait,SHCK.KW,Sokouk Holding Co KSCP,Real Estate,Real Estate Management & Development
Kuwait,KCPC.KW,Kuwait Company for Process Plant Construction and Contracting KPSC,Industrials,Construction & Engineering
Kuwait,KPPC.KW,Privatization Holding Co KPSC,Financials,Financial Services
Kuwait,AQAR.KW,Aqar Real Estate Investment Co KSCP,Real Estate,Real Estate Management & Development
Kuwait,NAPS.KW,National Petroleum Services Company KSCP,Energy,Energy Equipment & Services
Kuwait,KWRE.KW,Kuwait Reinsurance Company KSCP,Financials,Insurance
Kuwait,MRCK.KW,Metal and Recycling Co KSCP,Industrials,Commercial Services & Supplies
Kuwait,NIHK.KW,National International Holding Co KSCP,Financials,Financial Services
Kuwait,MAZA.KW,Al-Mazaya Holding Company KSCP,Real Estate,Real Estate Management & Development
Kuwait,INJA.KW,Injazzat Real Estate Development Co KSCP,Real Estate,Real Estate Management & Development
Kuwait,BAYK.KW,Bayan Investment Holding Co KSCP,Financials,Capital Markets
Kuwait,KAMC.KW,Kamco Investment Company KSCP,Financials,Capital Markets
Kuwait,NIBM.KW,National Industries Co KPSC,Materials,Construction Materials
Kuwait,WETH.KW,Wethaq Takaful Insurance Co KCSP,Financials,Insurance
Kuwait,FTIK.KW,First Takaful Insurance Company KPSC,Financials,Insurance
Kuwait,EQUI.KW,Equipment Holding Co KSCP,Industrials,Construction & Engineering
Kuwait,BURG.KW,Burgan Bank KPSC,Financials,Banks
Kuwait,CBKK.KW,Commercial Bank of Kuwait KPSC,Financials,Banks
Kuwait,KINV.KW,Kuwait Investment Company KSCP,Financials,Capital Markets
Kuwait,ENER.KW,Energy House Holding Company KSCP,Energy,"Oil, Gas & Consumable Fuels"
Kuwait,UREK.KW,United Real Estate Company KSCP,Real Estate,Real Estate Management & Development
Kuwait,AINS.KW,Al Ahleia Insurance Co SAKP,Financials,Insurance
Kuwait,ACIC.KW,ACICO Industries Company KSCP,Materials,Construction Materials
Kuwait,AREC.KW,Ajial Real Estate Entertainment Co KSCP,Real Estate,Real Estate Management & Development
Kuwait,ARAB.KW,Al-Arabiya Real Estate Co KSCP,Real Estate,Real Estate Management & Development
Kuwait,OORE.KW,National Mobile Telecommunications Co KSCP,Communication Services,Wireless Telecommunication Services
Kuwait,SCFK.KW,Sultan Center Food Products Company K.S.C.(Public),Consumer Staples,Consumer Staples Distribution & Retail
Kuwait,BPCC.KW,Boubyan Petrochemical Company KSCP,Materials,Chemicals
Kuwait,COAS.KW,Coast Investment & Development Company KSCP,Financials,Capital Markets
Kuwait,FACI.KW,Commercial Facilities Company SAK,Financials,Consumer Finance
Kuwait,CABL.KW,Gulf Cables and Electrical Industries Group Co KSCP,Industrials,Electrical Equipment
Kuwait,GINS.KW,Gulf Insurance Group KSCP,Financials,Insurance
Kuwait,IPGK.KW,Independent Petroleum Group KSCP,Energy,"Oil, Gas & Consumable Fuels"
Kuwait,KGLK.KW,Kuwait and Gulf Link Transport Company KPSC,Industrials,Transportation Infrastructure
Kuwait,KMEF.KW,Kuwait and Middle East Financial Investment Company KSCP,Financials,Capital Markets
Kuwait,KCEM.KW,Kuwait Cement Company KPSC,Materials,Construction Materials
Kuwait,SENE.KW,Senergy Holding Company KSCP,Energy,Energy Equipment & Services
Kuwait,KFH.KW,Kuwait Finance House KSCP,Financials,Banks
Kuwait,MARKZ.KW,Kuwait Financial Centre KPSC,Financials,Capital Markets
Kuwait,KFDC.KW,Kuwait Foundry Co. ( S.A.K ),Materials,Metals & Mining
Kuwait,KHOT.KW,Kuwait Hotels Co KPSC,Consumer Discretionary,"Hotels, Restaurants & Leisure"
Kuwait,KINS.KW,Kuwait Insurance Company SAKP,Financials,Insurance
Kuwait,KPRO.KW,Kuwait Projects Company Holding KSCP,Financials,Banks
Kuwait,KCIN.KW,Kuwait National Cinema Company KPSC,Communication Services,Entertainment
Kuwait,KIBK.KW,Kuwait International Bank KSCP,Financials,Banks
Kuwait,SHIP.KW,Heavy Engineering Industries and Shipbuilding Company KSCP,Energy,Energy Equipment & Services
Kuwait,CATT.KW,Livestock Transport & Trading Company KPSC,Consumer Staples,Consumer Staples Distribution & Retail
Kuwait,ZAIN.KW,Mobile Telecommunications Company KSCP,Communication Services,Wireless Telecommunication Services
Kuwait,CLEA.KW,National Cleaning Co (KSCP),Industrials,Commercial Services & Supplies
Kuwait,NINV.KW,National Investments Co KSCP,Financials,Financial Services
